name,N,steps,cpu-time,reopts
antilla,70,14,108647.8,0
bach,56,13,43265.3,0
berkessel,48,19,31196.2,0
boscalid,35,12,15371.9,0
cinchonidine,44,71,54193.9,1
gobel,60,35,83409,0
hexynoate,28,21,8336.7,0
inoue,37,13,14551.7,0
johnston,53,21,49665.4,0
mikami,44,28,49575.3,0
nakano,85,14,121461.4,0
ricci,42,29,37162.3,0
sasai,53,15,48254.8,0
segphos,72,81,261625,1
sulphon,42,26,38851.9,0
superquat,41,12,17810.4,0
takemoto,48,16,31498.5,0
terada,58,12,61975.1,0
urea,69,38,121465.5,0
yamamoto,30,17,6641.7,0
